route_id,schd_trip_id,stop_id,stop_sequence,arrival_time,schd_sec,trip_id,event_time,avl_sec,diff,index
20,910043020,420,33,08:13:26,29606,910043020,2019-09-06 08:14:14,202454.0,172848.0,2039.0
20,910043020,421,34,08:13:55,29635,910043020,2019-09-03 08:18:29,29909.0,274.0,2040.0
20,910043020,421,34,08:13:55,29635,910043020,2019-09-04 08:13:20,29600.000000000004,-34.99999999999636,2041.0
20,910043020,421,34,08:13:55,29635,910043020,2019-09-05 08:13:16,115996.0,86361.0,2042.0
20,910043020,421,34,08:13:55,29635,910043020,2019-09-06 08:14:45,202485.0,172850.0,2043.0
20,910043020,423,36,08:15:14,29714,910043020,2019-09-03 08:19:48,29988.0,274.0,2044.0
20,910043020,423,36,08:15:14,29714,910043020,2019-09-04 08:14:21,29661.000000000004,-52.99999999999636,2045.0
20,910043020,423,36,08:15:14,29714,910043020,2019-09-05 08:14:09,116049.0,86335.0,2046.0
20,910043020,423,36,08:15:14,29714,910043020,2019-09-06 08:15:17,202517.0,172803.0,2047.0
20,910043020,425,38,08:16:51,29811,910043020,2019-09-03 08:24:00,30240.0,429.0,2048.0
20,910043020,425,38,08:16:51,29811,910043020,2019-09-04 08:19:05,29945.000000000004,134.00000000000364,2049.0
20,910043020,425,38,08:16:51,29811,910043020,2019-09-05 08:16:47,116207.0,86396.0,2050.0
20,910043020,425,38,08:16:51,29811,910043020,2019-09-06 08:18:35,202715.0,172904.0,2051.0
20,910043020,427,40,08:18:18,29898,910043020,2019-09-03 08:25:24,30324.0,426.0,2052.0
20,910043020,427,40,08:18:18,29898,910043020,2019-09-04 08:20:42,30042.000000000004,144.00000000000364,2053.0
20,910043020,427,40,08:18:18,29898,910043020,2019-09-05 08:17:54,116274.0,86376.0,2054.0
20,910043020,427,40,08:18:18,29898,910043020,2019-09-06 08:20:16,202816.0,172918.0,2055.0
20,910043020,428,41,08:19:08,29948,910043020,2019-09-03 08:26:18,30378.0,430.0,2056.0
20,910043020,428,41,08:19:08,29948,910043020,2019-09-04 08:21:32,30092.000000000004,144.00000000000364,2057.0
20,910043020,428,41,08:19:08,29948,910043020,2019-09-05 08:18:39,116319.0,86371.0,2058.0
20,910043020,428,41,08:19:08,29948,910043020,2019-09-06 08:21:17,202877.0,172929.0,2059.0
20,910043020,429,42,08:19:51,29991,910043020,2019-09-03 08:27:34,30454.0,463.0,2060.0
20,910043020,429,42,08:19:51,29991,910043020,2019-09-04 08:21:50,30110.000000000004,119.00000000000364,2061.0
20,910043020,429,42,08:19:51,29991,910043020,2019-09-05 08:19:15,116355.0,86364.0,2062.0
20,910043020,429,42,08:19:51,29991,910043020,2019-09-06 08:21:56,202916.0,172925.0,2063.0
20,910043020,430,43,08:20:45,30045,910043020,2019-09-03 08:28:02,30482.0,437.0,2064.0
20,910043020,430,43,08:20:45,30045,910043020,2019-09-04 08:22:11,30131.000000000004,86.00000000000364,2065.0
20,910043020,430,43,08:20:45,30045,910043020,2019-09-05 08:19:57,116397.0,86352.0,2066.0
