BOARDING_STOP,INFERRED_ALIGHTING_GTFS_STOP,bin_5,mean,std
386.0,390.0,107,0.0,0.0
386.0,390.0,108,0.25,0.5
386.0,390.0,109,0.0,0.0
386.0,390.0,110,0.0,0.0
386.0,390.0,111,0.0,0.0
386.0,390.0,112,0.0,0.0
386.0,390.0,113,0.0,0.0
386.0,390.0,114,0.0,0.0
386.0,390.0,115,0.0,0.0
386.0,390.0,116,0.0,0.0
386.0,390.0,117,0.0,0.0
386.0,390.0,118,0.0,0.0
386.0,390.0,119,0.0,0.0
386.0,391.0,84,0.0,0.0
386.0,391.0,85,0.0,0.0
386.0,391.0,86,0.25,0.5
386.0,391.0,87,0.0,0.0
386.0,391.0,88,0.0,0.0
386.0,391.0,89,0.0,0.0
386.0,391.0,90,0.0,0.0
386.0,391.0,91,0.0,0.0
386.0,391.0,92,0.0,0.0
386.0,391.0,93,0.25,0.5
386.0,391.0,94,0.0,0.0
386.0,391.0,95,0.0,0.0
386.0,391.0,96,0.0,0.0
386.0,391.0,97,0.0,0.0
386.0,391.0,98,0.0,0.0
386.0,391.0,99,0.0,0.0
386.0,391.0,100,0.0,0.0
386.0,391.0,101,0.0,0.0
386.0,391.0,102,0.0,0.0
386.0,391.0,103,0.0,0.0
386.0,391.0,104,0.0,0.0
386.0,391.0,105,0.0,0.0
386.0,391.0,106,0.0,0.0
386.0,391.0,107,0.0,0.0
386.0,391.0,108,0.0,0.0
386.0,391.0,109,0.0,0.0
386.0,391.0,110,0.0,0.0
386.0,391.0,111,0.0,0.0
386.0,391.0,112,0.0,0.0
386.0,391.0,113,0.0,0.0
386.0,391.0,114,0.0,0.0
386.0,391.0,115,0.0,0.0
386.0,391.0,116,0.0,0.0
386.0,391.0,117,0.0,0.0
386.0,391.0,118,0.0,0.0
386.0,391.0,119,0.0,0.0
386.0,394.0,84,0.0,0.0
386.0,394.0,85,0.0,0.0
386.0,394.0,86,0.0,0.0
386.0,394.0,87,0.0,0.0
386.0,394.0,88,0.0,0.0
386.0,394.0,89,0.0,0.0
386.0,394.0,90,0.0,0.0
386.0,394.0,91,0.0,0.0
386.0,394.0,92,0.0,0.0
386.0,394.0,93,0.0,0.0
386.0,394.0,94,0.0,0.0
386.0,394.0,95,0.0,0.0
386.0,394.0,96,0.0,0.0
386.0,394.0,97,0.0,0.0
386.0,394.0,98,0.0,0.0
386.0,394.0,99,0.0,0.0
386.0,394.0,100,0.0,0.0
386.0,394.0,101,0.0,0.0
386.0,394.0,102,0.0,0.0
386.0,394.0,103,0.0,0.0
386.0,394.0,104,0.0,0.0
386.0,394.0,105,0.0,0.0
386.0,394.0,106,0.0,0.0
386.0,394.0,107,0.0,0.0
386.0,394.0,108,0.25,0.5
386.0,394.0,109,0.0,0.0
386.0,394.0,110,0.0,0.0
386.0,394.0,111,0.0,0.0
386.0,394.0,112,0.0,0.0
386.0,394.0,113,0.0,0.0
386.0,394.0,114,0.25,0.5
386.0,394.0,115,0.0,0.0
386.0,394.0,116,0.25,0.5
386.0,394.0,117,0.0,0.0
386.0,394.0,118,0.0,0.0
386.0,394.0,119,0.0,0.0
386.0,395.0,84,0.0,0.0
386.0,395.0,85,0.0,0.0
386.0,395.0,86,0.0,0.0
386.0,395.0,87,0.0,0.0
386.0,395.0,88,0.0,0.0
386.0,395.0,89,0.0,0.0
386.0,395.0,90,0.0,0.0
386.0,395.0,91,0.0,0.0
386.0,395.0,92,0.0,0.0
386.0,395.0,93,0.0,0.0
386.0,395.0,94,0.0,0.0
