 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_time,  skip  (1/0) 
911214020 {
435 28988.15 28996.25 14 1 0 0 0 0
436 29102.85 29114.05 16 2 0 0 0 0
437 29168.13 29179.33 18 2 0 0 0 0
14647 29239.67 29250.87 20 2 0 0 0 0
439 29315.3 29326.5 22 2 0 0 0 0
440 29441.61 29452.81 23 2 1 0 0 0
12754 29508.54 29508.54 23 0 0 0 0 0
442 29587.16 29593.36 22 0 1 0 0 0
443 29711.22 29719.32 21 1 2 0 0 0
445 29974.0 29982.6 18 0 3 0 0 0
     }
- - - - - -
911298020 {
386 26460 26460 2 2 0 0 0 0
388 26531.91 26543.11 4 2 0 0 0 0
389 26570.27 26578.37 5 1 0 0 0 0
390 26610.72 26610.72 5 0 0 0 0 0
391 26628.67 26639.87 7 2 0 0 0 0
14956 26722.58 26730.68 7 1 1 0 0 0
393 26754.36 26754.36 7 0 0 0 0 0
394 26774.98 26774.98 7 0 0 0 0 0
395 26811.81 26811.81 7 0 0 0 0 0
396 26839.97 26839.97 7 0 0 0 0 0
397 26875.02 26883.12 7 1 1 0 0 0
17169 26933.39 26933.39 7 0 0 0 0 0
17162 27001.95 27001.95 7 0 0 0 0 0
14959 27069.02 27083.32 10 3 0 0 0 0
402 27115.18 27115.18 10 0 0 0 0 0
403 27143.13 27183.13 10 0 0 0 40 0
17163 27222.26 27222.26 10 0 0 0 0 0
15848 27255.3 27263.4 11 1 0 0 0 0
406 27305.97 27313.37 9 0 2 0 0 0
14500 27363.42 27403.42 11 2 0 0 40 0
15852 27468.8 27476.9 12 1 0 0 0 0
409 27509.21 27515.41 11 0 1 0 0 0
18047 27618.19 27618.19 11 0 0 0 0 0
17841 27684.01 27684.01 11 0 0 0 0 0
412 27747.3 27747.3 11 0 0 0 0 0
413 27794.4 27834.4 11 0 0 0 40 0
14764 27891.24 27898.64 9 0 2 0 0 0
415 27938.06 27938.06 9 0 0 0 0 0
416 28009.45 28016.85 7 0 2 0 0 0
417 28086.74 28086.74 7 0 0 0 0 0
15185 28131.15 28131.15 7 0 0 0 0 0
16110 28184.69 28184.69 7 0 0 0 0 0
420 28220.11 28226.31 6 0 1 0 0 0
421 28251.05 28251.05 6 0 0 0 0 0
16088 28277.24 28277.24 6 0 0 0 0 0
423 28320.51 28320.51 6 0 0 0 0 0
15364 28460.34 28466.54 5 0 1 0 0 0
425 28527.14 28567.14 6 1 0 0 40 0
15384 28608.84 28616.94 7 1 0 0 0 0
427 28654.65 28662.75 8 1 0 0 0 0
428 28708.24 28708.24 8 0 0 0 0 0
429 28748.16 28759.36 10 2 0 0 0 0
430 28796.69 28807.89 12 2 0 0 0 0
431 28851.25 28859.35 13 1 0 0 0 0
4727 28933.24 28941.34 14 1 0 0 0 0
432 29031.43 29037.63 13 0 1 0 0 0
15279 29104.62 29104.62 13 0 0 0 0 0
16049 29123.21 29137.51 16 3 0 0 0 0
435 29202.36 29210.46 17 1 0 0 0 0
436 29292.55 29303.75 19 2 0 0 0 0
