 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count 
15279 28191.5 28191.5 6 0 0 0
16049 28222.2 28233.4 8 2 0 0
435 28263.2 28271.3 9 1 0 0
436 28350.3 28373.9 15 6 0 0
437 28425.7 28440.0 18 3 0 0
14647 28516.9 28516.9 18 0 0 0
439 28563.5 28563.5 18 0 0 0
440 28631.3 28637.5 17 0 1 0
12754 28680.7 28680.7 17 0 0 0
442 28727.6 28735.7 17 1 1 0
443 28805.3 28822.7 20 4 1 0
445 29050.5 29059.1 17 0 3 0
446 29158.2 29168.0 13 0 4 0
18122 29235.7 29256.2 16 5 2 0
448 29334.0 29351.0 9 3 10 0
1119 29581.6 29589.0 7 0 2 0
1120 29662.0 29668.2 6 0 1 0
1121 29733.9 29733.9 6 0 0 0
3953 29787.1 29793.3 5 0 1 0
3954 29831.2 29831.2 5 0 0 0
8613 29981.0 29981.0 0 0 5 0
     }
- - - - - -
911283020 {
396 26409.8 26409.8 6 0 0 0
397 26457.2 26463.4 5 0 1 0
17169 26509.4 26509.4 5 0 0 0
17162 26565.6 26565.6 5 0 0 0
14959 26652.2 26658.4 4 0 1 0
402 26693.8 26705.0 6 2 0 0
403 26741.1 26741.1 6 0 0 0
17163 26787.7 26787.7 6 0 0 0
15848 26845.4 26856.6 8 2 0 0
406 26905.8 26905.8 8 0 0 0
14500 26945.5 26956.7 10 2 0 0
15852 27007.0 27007.0 10 0 0 0
409 27048.6 27054.8 9 0 1 0
18047 27146.3 27146.3 9 0 0 0
17841 27205.8 27205.8 9 0 0 0
412 27287.0 27287.0 9 0 0 0
413 27326.5 27326.5 9 0 0 0
14764 27367.4 27374.8 7 0 2 0
415 27423.3 27423.3 7 0 0 0
416 27468.1 27479.3 8 2 1 0
417 27522.3 27530.4 9 1 0 0
15185 27572.7 27572.7 9 0 0 0
16110 27626.8 27626.8 9 0 0 0
420 27695.4 27701.6 8 0 1 0
421 27723.8 27723.8 8 0 0 0
16088 27746.9 27755.0 9 1 0 0
423 27792.1 27800.2 10 1 0 0
15364 27973.3 27980.7 8 0 2 0
425 28029.4 28037.5 9 1 0 0
15384 28076.4 28084.5 10 1 0 0
427 28138.3 28146.4 11 1 0 0
428 28192.4 28198.6 10 0 1 0
429 28296.2 28296.2 10 0 0 0
430 28327.2 28335.3 11 1 0 0
431 28372.3 28380.4 12 1 0 0
4727 28427.2 28438.4 14 2 0 0
432 28513.9 28528.2 15 3 2 0
15279 28647.5 28647.5 15 0 0 0
16049 28666.9 28666.9 15 0 0 0
435 28721.7 28721.7 15 0 0 0
436 28783.5 28797.8 17 3 1 0
437 28874.6 28882.7 18 1 0 0
14647 28943.9 28952.0 19 1 0 0
439 28992.4 29003.6 21 2 0 0
440 29072.4 29089.8 24 4 1 0
12754 29139.0 29139.0 24 0 0 0
442 29211.2 29219.3 24 1 1 0
443 29385.6 29406.1 28 5 1 0
445 29596.1 29607.1 24 1 5 0
446 29688.2 29699.2 19 0 5 0
18122 29822.9 29831.5 17 1 3 0
448 29937.6 29955.8 10 4 11 0
