trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled,schd_trip_id,block_id,schd_sec
6260911285020,05:23:48,05:23:48,391,5,Illinois Center,0,2105,911285020,626055897602,19428.0
6260911900030,05:24:12,05:24:12,15185,31,Illinois Center,0,20147,911900030,626055898403,19452.0
6260911285020,05:24:21,05:24:21,14956,6,Illinois Center,0,2771,911285020,626055897602,19461.0
6260911285020,05:24:33,05:24:33,393,7,Illinois Center,0,3021,911285020,626055897602,19473.0
6260911900030,05:24:42,05:24:42,16110,32,Illinois Center,0,20813,911900030,626055898403,19482.0
6260911285020,05:24:54,05:24:54,394,8,Illinois Center,0,3387,911285020,626055897602,19494.0
6260911900030,05:25:12,05:25:12,420,33,Illinois Center,0,21489,911900030,626055898403,19512.0
6260911285020,05:25:24,05:25:24,395,9,Illinois Center,0,3929,911285020,626055897602,19524.0
6260911900030,05:25:33,05:25:33,421,34,Illinois Center,0,21833,911900030,626055898403,19533.0
6260911285020,05:25:54,05:25:54,396,10,Illinois Center,0,4531,911285020,626055897602,19554.0
6260911900030,05:25:58,05:25:58,16088,35,Illinois Center,0,22340,911900030,626055898403,19558.0
6260911285020,05:26:30,05:26:30,397,11,Illinois Center,0,5220,911285020,626055897602,19590.0
6260911900030,05:26:33,05:26:33,423,36,Illinois Center,0,23260,911900030,626055898403,19593.0
6260911900030,05:27:08,05:27:08,15364,37,Illinois Center,0,24119,911900030,626055898403,19628.0
6260911285020,05:27:09,05:27:09,17169,12,Illinois Center,0,6013,911285020,626055897602,19629.0
6260911900030,05:27:46,05:27:46,425,38,Illinois Center,0,24767,911900030,626055898403,19666.0
6260911285020,05:28:00,05:28:00,17162,13,Illinois Center,0,6938,911285020,626055897602,19680.0
6260911900030,05:28:24,05:28:24,15384,39,Illinois Center,0,25461,911900030,626055898403,19704.0
6260911900030,05:28:51,05:28:51,427,40,Illinois Center,0,26022,911900030,626055898403,19731.0
6260911285020,05:29:00,05:29:00,14959,14,Illinois Center,0,8087,911285020,626055897602,19740.0
6260911900030,05:29:28,05:29:28,428,41,Illinois Center,0,26746,911900030,626055898403,19768.0
6260911285020,05:29:38,05:29:38,402,15,Illinois Center,0,8592,911285020,626055897602,19778.0
6260911900030,05:30:01,05:30:01,429,42,Illinois Center,0,27382,911900030,626055898403,19801.0
6260911285020,05:30:25,05:30:25,403,16,Illinois Center,0,9210,911285020,626055897602,19825.0
6260911900030,05:30:41,05:30:41,430,43,Illinois Center,0,28209,911900030,626055898403,19841.0
6260911900030,05:31:16,05:31:16,431,44,Illinois Center,0,28900,911900030,626055898403,19876.0
6260911285020,05:31:25,05:31:25,17163,17,Illinois Center,0,10056,911285020,626055897602,19885.0
6260911900030,05:31:35,05:31:35,4727,45,Illinois Center,0,29212,911900030,626055898403,19895.0
6260911900030,05:32:00,05:32:00,432,46,Illinois Center,0,29648,911900030,626055898403,19920.0
6260911285020,05:32:12,05:32:12,15848,18,Illinois Center,0,10739,911285020,626055897602,19932.0
