 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
390 28179.0 28179.0 0 0 0 0 0
391 28198.8 28206.9 1 1 0 0 0
14956 28259.9 28268.0 2 1 0 0 0
393 28295.4 28295.4 2 0 0 0 0
394 28312.7 28312.7 2 0 0 0 0
395 28359.3 28380.4 3 1 0 0 21.048316723088647
396 28412.7 28412.7 3 0 0 0 0
397 28450.7 28458.8 4 1 0 0 0
17169 28519.5 28519.5 4 0 0 0 0
17162 28566.3 28566.3 4 0 0 0 0
14959 28648.5 28688.5 4 0 0 0 40
402 28728.9 28728.9 4 0 0 0 0
403 28754.7 28754.7 4 0 0 0 0
17163 28792.4 28800.5 5 1 0 0 0
15848 28859.5 28859.5 5 0 0 0 0
     }
- - - - - -
911933020 {
386 28345.5 28345.5 0 0 0 0 0
388 28389.7 28397.8 1 1 0 0 0
389 28422.2 28430.3 2 1 0 0 0
390 28454.9 28454.9 2 0 0 0 0
391 28471.2 28471.2 2 0 0 0 0
14956 28529.7 28540.9 4 2 0 0 0
393 28574.1 28574.1 4 0 0 0 0
394 28595.3 28595.3 4 0 0 0 0
395 28635.0 28635.0 4 0 0 0 0
396 28666.3 28666.3 4 0 0 0 0
397 28706.5 28706.5 4 0 0 0 0
17169 28772.0 28780.1 5 1 0 0 0
17162 28820.2 28820.2 5 0 0 0 0
     }
- - - - - -
911386020 {
386 28593.0 28593.0 0 0 0 0 0
388 28630.1 28641.3 2 2 0 0 0
389 28663.3 28663.3 2 0 0 0 0
390 28690.6 28730.6 2 0 0 0 40
391 28754.2 28762.3 3 1 0 0 0
14956 28815.0 28826.2 5 2 0 0 0
393 28856.4 28864.5 6 1 0 0 0
     }
- - - - - -
