 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count 
427 27522.9 27522.9 5 0 0 0
428 27576.5 27576.5 5 0 0 0
429 27621.6 27621.6 5 0 0 0
430 27665.3 27665.3 5 0 0 0
431 27715.7 27715.7 5 0 0 0
4727 27760.1 27760.1 5 0 0 0
432 27828.1 27834.3 4 0 1 0
15279 27914.6 27914.6 4 0 0 0
16049 27939.7 27939.7 4 0 0 0
435 27991.0 27991.0 4 0 0 0
436 28059.7 28059.7 4 0 0 0
437 28122.7 28122.7 4 0 0 0
14647 28198.8 28198.8 4 0 0 0
439 28247.3 28255.4 5 1 0 0
440 28312.1 28312.1 5 0 0 0
12754 28353.1 28353.1 5 0 0 0
442 28433.5 28433.5 5 0 0 0
443 28562.4 28568.6 4 0 1 0
445 28749.7 28749.7 4 0 0 0
446 28816.7 28822.9 3 0 1 0
     }
- - - - - -
911283020 {
17169 26441.7 26456.0 8 3 0 0
17162 26505.1 26513.2 9 1 0 0
14959 26586.3 26592.5 8 0 1 0
402 26636.9 26645.0 9 1 0 0
403 26673.5 26673.5 9 0 0 0
17163 26714.6 26725.8 11 2 0 0
15848 26784.7 26784.7 11 0 0 0
406 26827.0 26827.0 11 0 0 0
14500 26861.8 26861.8 11 0 0 0
15852 26929.8 26929.8 11 0 0 0
409 26959.9 26966.1 10 0 1 0
18047 27035.1 27035.1 10 0 0 0
17841 27103.3 27114.5 12 2 0 0
412 27183.0 27183.0 12 0 0 0
413 27217.1 27225.2 13 1 0 0
14764 27269.5 27277.6 12 1 2 0
415 27328.0 27328.0 12 0 0 0
416 27384.9 27393.0 11 1 2 0
417 27455.4 27455.4 11 0 0 0
15185 27490.9 27499.0 12 1 0 0
16110 27540.8 27547.0 11 0 1 0
420 27609.3 27617.4 11 1 1 0
421 27641.4 27641.4 11 0 0 0
16088 27664.4 27675.6 13 2 0 0
423 27704.5 27704.5 13 0 0 0
15364 27800.1 27811.3 12 2 3 0
425 27873.4 27873.4 12 0 0 0
15384 27909.4 27929.9 17 5 0 0
427 27968.2 27979.4 19 2 0 0
428 28023.4 28034.6 20 2 1 0
429 28085.1 28085.1 20 0 0 0
430 28118.0 28126.1 21 1 0 0
431 28188.6 28199.8 22 2 1 0
4727 28250.7 28265.0 24 3 1 0
432 28321.7 28330.3 22 1 3 0
15279 28419.5 28430.7 24 2 0 0
16049 28466.1 28477.3 26 2 0 0
435 28533.8 28548.1 28 3 1 0
436 28601.4 28615.7 30 3 1 0
437 28678.3 28692.6 32 3 1 0
14647 28768.7 28768.7 32 0 0 0
439 28812.7 28812.7 32 0 0 0
     }
- - - - - -
910985020 {
14956 26432.7 26432.7 0 0 0 0
393 26466.3 26466.3 0 0 0 0
394 26483.2 26483.2 0 0 0 0
395 26511.4 26511.4 0 0 0 0
396 26548.8 26548.8 0 0 0 0
397 26617.5 26617.5 0 0 0 0
17169 26662.5 26670.6 1 1 0 0
17162 26746.9 26746.9 1 0 0 0
14959 26841.8 26841.8 1 0 0 0
402 26878.8 26878.8 1 0 0 0
403 26912.3 26912.3 1 0 0 0
17163 26945.5 26945.5 1 0 0 0
15848 26996.5 26996.5 1 0 0 0
406 27043.8 27051.9 2 1 0 0
14500 27106.7 27117.9 4 2 0 0
15852 27189.0 27189.0 4 0 0 0
409 27224.8 27224.8 4 0 0 0
18047 27321.3 27329.4 5 1 0 0
17841 27404.7 27404.7 5 0 0 0
412 27455.0 27455.0 5 0 0 0
413 27500.0 27500.0 5 0 0 0
14764 27557.2 27563.4 4 0 1 0
415 27616.6 27616.6 4 0 0 0
416 27671.2 27679.3 4 1 1 0
