 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
14959 26593.9 26600.1 7 0 1 0 0
402 26634.4 26645.6 9 2 0 0 0
403 26674.5 26703.6 9 0 0 0 29.09227233715501
17163 26744.8 26752.9 10 1 0 0 0
15848 26800.3 26800.3 10 0 0 0 0
406 26842.7 26842.7 10 0 0 0 0
14500 26894.1 26905.3 11 2 1 0 6.24364248468919
15852 26973.0 26973.0 11 0 0 0 0
409 27006.9 27018.1 12 2 1 0 0
18047 27104.3 27112.4 13 1 0 0 0
17841 27187.5 27195.6 14 1 0 0 0
412 27251.5 27259.6 15 1 0 0 0
413 27307.9 27307.9 15 0 0 0 0
14764 27359.7 27370.9 14 2 3 0 0
415 27416.3 27416.3 14 0 0 0 0
416 27461.7 27470.3 12 1 3 0 0
417 27559.5 27567.6 13 1 0 0 0
15185 27605.7 27605.7 13 0 0 0 0
16110 27641.1 27641.1 13 0 0 0 0
420 27701.8 27708.0 12 0 1 0 0
421 27729.2 27729.2 12 0 0 0 0
16088 27754.1 27762.2 13 1 0 0 0
423 27792.6 27792.6 13 0 0 0 0
15364 27936.0 27953.4 14 4 3 0 0
425 28012.8 28012.8 14 0 0 0 0
15384 28042.3 28053.5 15 2 1 0 0
427 28091.8 28091.8 15 0 0 0 0
428 28123.3 28129.5 14 0 1 0 0
429 28184.2 28184.2 14 0 0 0 0
430 28218.4 28229.6 16 2 0 0 0
431 28275.2 28275.2 16 0 0 0 0
4727 28329.8 28341.0 17 2 1 0 0
432 28419.2 28433.5 18 3 2 0 0
15279 28527.8 28535.9 19 1 0 0 0
16049 28559.6 28573.9 22 3 0 0 0
435 28620.5 28628.6 23 1 0 0 0
436 28682.6 28690.7 23 1 1 0 0
437 28760.5 28760.5 23 0 0 0 0
14647 28843.0 28843.0 23 0 0 0 0
     }
- - - - - -
910985020 {
390 26410.3 26410.3 2 0 0 0 0
391 26434.0 26434.0 2 0 0 0 0
14956 26493.7 26508.0 5 3 0 0 0
393 26549.0 26549.0 5 0 0 0 0
394 26565.5 26579.8 8 3 0 0 0
395 26616.1 26616.1 8 0 0 0 0
396 26642.4 26650.5 9 1 0 0 0
397 26703.0 26714.2 10 2 1 0 0
17169 26760.0 26768.1 11 1 0 0 0
17162 26824.0 26832.1 12 1 0 0 0
14959 26906.3 26914.4 12 1 1 0 0
402 26960.0 26968.1 13 1 0 0 0
403 26996.9 26996.9 13 0 0 0 0
17163 27049.0 27049.0 13 0 0 0 0
15848 27094.4 27105.6 14 2 1 0 0
406 27151.6 27159.7 13 1 2 0 0
14500 27234.5 27240.7 12 0 1 0 0
15852 27299.7 27299.7 12 0 0 0 0
409 27330.3 27336.5 11 0 1 0 0
18047 27417.7 27428.9 13 2 0 0 0
17841 27495.6 27495.6 13 0 0 0 0
412 27552.5 27552.5 13 0 0 0 0
413 27596.4 27596.4 13 0 0 0 0
14764 27655.9 27663.3 11 0 2 0 0
415 27715.0 27715.0 11 0 0 0 0
416 27782.6 27793.8 11 2 2 0 0
417 27862.8 27870.9 12 1 0 0 0
15185 27907.0 27907.0 12 0 0 0 0
16110 27944.9 27951.1 11 0 1 0 0
420 28001.2 28009.3 10 1 2 0 0
421 28033.4 28033.4 10 0 0 0 0
16088 28058.2 28058.2 10 0 0 0 0
423 28094.6 28102.7 11 1 0 0 0
15364 28196.1 28207.3 10 2 3 0 0
425 28257.2 28257.2 10 0 0 0 0
15384 28293.9 28305.1 12 2 0 0 0
427 28350.1 28361.3 14 2 0 0 0
428 28409.7 28420.9 15 2 1 0 0
429 28480.3 28480.3 15 0 0 0 0
430 28535.4 28535.4 15 0 0 0 0
431 28583.9 28583.9 15 0 0 0 0
4727 28624.7 28630.9 14 0 1 0 0
432 28705.0 28716.2 14 2 2 0 0
15279 28809.9 28809.9 14 0 0 0 0
16049 28832.5 28843.7 16 2 0 0 0
     }
- - - - - -
911298020 {
386 26460 26460 0 0 0 0 0
388 26504.6 26515.8 2 2 0 0 0
389 26542.1 26542.1 2 0 0 0 0
390 26577.1 26617.1 2 0 0 0 40
391 26641.8 26641.8 2 0 0 0 0
14956 26709.9 26718.0 3 1 0 0 0
393 26746.8 26746.8 3 0 0 0 0
394 26767.0 26767.0 3 0 0 0 0
395 26800.8 26840.8 3 0 0 0 40
396 26865.3 26873.4 4 1 0 0 0
397 26922.2 26922.2 4 0 0 0 0
17169 26974.1 26982.2 5 1 0 0 0
17162 27051.3 27051.3 5 0 0 0 0
14959 27127.2 27127.2 5 0 0 0 0
402 27185.2 27185.2 5 0 0 0 0
403 27214.4 27222.5 6 1 0 0 0
17163 27267.1 27275.2 7 1 0 0 0
15848 27343.6 27343.6 7 0 0 0 0
406 27388.8 27395.0 6 0 1 0 0
14500 27459.7 27474.0 9 3 0 0 0
15852 27527.4 27527.4 9 0 0 0 0
409 27560.1 27571.3 10 2 1 0 0
18047 27671.8 27671.8 10 0 0 0 0
17841 27737.4 27737.4 10 0 0 0 0
412 27796.7 27796.7 10 0 0 0 0
413 27842.1 27842.1 10 0 0 0 0
14764 27896.1 27903.5 8 0 2 0 0
415 27952.0 27952.0 8 0 0 0 0
416 28019.0 28025.2 7 0 1 0 0
417 28084.4 28084.4 7 0 0 0 0
15185 28116.2 28116.2 7 0 0 0 0
16110 28172.9 28172.9 7 0 0 0 0
420 28215.1 28221.3 6 0 1 0 0
421 28242.1 28242.1 6 0 0 0 0
16088 28264.3 28264.3 6 0 0 0 0
423 28306.1 28306.1 6 0 0 0 0
15364 28413.6 28421.7 6 1 1 0 0
425 28482.8 28513.3 7 1 0 0 30.448575211041316
15384 28550.6 28564.9 10 3 0 0 0
427 28598.1 28606.2 11 1 0 0 0
428 28649.3 28655.5 10 0 1 0 0
429 28709.5 28709.5 10 0 0 0 0
430 28749.1 28749.1 10 0 0 0 0
431 28800.3 28820.8 10 0 0 0 20.521439277363243
     }
- - - - - -
910955020 {
386 26747.8 26747.8 1 1 0 0 0
388 26808.6 26816.7 2 1 0 0 0
389 26846.5 26854.6 3 1 0 0 0
390 26887.2 26887.2 3 0 0 0 0
391 26904.9 26904.9 3 0 0 0 0
14956 26978.2 26989.4 5 2 0 0 0
393 27022.2 27022.2 5 0 0 0 0
394 27037.8 27037.8 5 0 0 0 0
395 27066.3 27074.4 6 1 0 0 0
396 27102.7 27102.7 6 0 0 0 0
397 27148.5 27148.5 6 0 0 0 0
17169 27211.5 27219.6 7 1 0 0 0
17162 27277.9 27277.9 7 0 0 0 0
14959 27353.8 27361.9 8 1 0 0 0
402 27403.7 27403.7 8 0 0 0 0
403 27423.9 27463.9 8 0 0 0 40
17163 27495.6 27503.7 9 1 0 0 0
15848 27560.1 27560.1 9 0 0 0 0
406 27599.6 27605.8 8 0 1 0 0
14500 27660.8 27681.9 9 1 0 0 21.08422339797835
15852 27736.6 27736.6 9 0 0 0 0
409 27784.3 27792.4 9 1 1 0 0
18047 27865.2 27865.2 9 0 0 0 0
17841 27957.7 27957.7 9 0 0 0 0
412 28005.6 28005.6 9 0 0 0 0
413 28047.7 28058.2 9 0 0 0 10.472804768032802
14764 28126.5 28133.9 7 0 2 0 0
415 28177.1 28177.1 7 0 0 0 0
416 28219.6 28227.7 7 1 1 0 0
