boarding_stop,alighting_stop,arrival_time,times_denied,boarding_time,trip_id,alighting_time
3743,3746,23708.465226472334,0,23859.046207610514,20296020,24027.487613130477
3744,3746,23717.220259744525,0,23904.700874795562,20296020,24027.487613130477
3744,3746,23778.934735154402,0,23904.700874795562,20296020,24027.487613130477
3809,3810,22979.978229243326,0,23972.77551616025,19931020,24036.23051318922
3809,3810,23038.226426229317,0,23972.77551616025,19931020,24036.23051318922
3809,3810,23190.46097328753,0,23972.77551616025,19931020,24036.23051318922
3809,3810,23260.11454102411,0,23972.77551616025,19931020,24036.23051318922
14582,3788,22848.275138573044,0,23448.606209694608,24619020,24039.40653722856
4941,3788,22878.59548163248,0,23675.812794531317,24619020,24039.40653722856
4941,3788,22954.384522229793,0,23675.812794531317,24619020,24039.40653722856
4941,3788,23097.240932752375,0,23675.812794531317,24619020,24039.40653722856
4943,3788,23338.370850175703,0,23741.684949984287,24619020,24039.40653722856
3733,3773,21555.77728214772,0,21727.5038578956,10141020,24130.448144934828
3764,3773,21724.885696351186,0,23194.091759815405,10141020,24130.448144934828
3764,3773,22935.057482403397,0,23194.091759815405,10141020,24130.448144934828
14102,3741,23123.712748662358,0,23460.0,3320020,24153.0026372289
3733,18580,22046.386942674308,0,22275.61185527712,25072020,24154.066264921777
4910,18580,23799.87238246801,0,24027.916960931892,25072020,24154.066264921777
3747,3748,23897.03580057359,0,24085.43403284998,20296020,24160.578012544465
14582,17604,23233.147732422996,0,23448.606209694608,24619020,24165.804456790822
3809,3818,23925.394633644955,0,23972.77551616025,19931020,24357.87016215456
17476,3753,23526.80714398748,0,23529.823018395677,20296020,24367.811740792487
3749,17251,24022.607988293792,0,24205.460874866756,20296020,24437.18503410926
4947,18352,23707.774095645378,0,23839.087054217893,24619020,24446.802785179698
14102,3746,23444.91540093329,0,23460.0,3320020,24447.416636687773
18106,3746,23900.4282166887,0,24098.441291636373,3320020,24447.416636687773
18106,3746,24087.544355915088,0,24098.441291636373,3320020,24447.416636687773
3742,3746,24159.68371243786,0,24201.9825662302,3320020,24447.416636687773
3743,3746,24012.03917577741,0,24264.233672460134,3320020,24447.416636687773
3744,3746,24169.55825793048,0,24329.72829267927,3320020,24447.416636687773
3744,3746,24242.682586100076,0,24329.72829267927,3320020,24447.416636687773
17476,3756,23034.01329264081,0,23523.295975584933,20296020,24496.38104992398
3739,3756,23573.464588549534,0,23616.508329052012,20296020,24496.38104992398
3743,3756,23279.701864109782,0,23859.046207610514,20296020,24496.38104992398
3743,3756,23665.16127248336,0,23859.046207610514,20296020,24496.38104992398
