boarding_stop,alighting_stop,arrival_time,times_denied,route_id,boarding_time,trip_id,alighting_time
3756,3760,25238.44840615497,0,81,25344.4888701679,7518020,25534.682198304235
4908,4912,25429.663019393207,0,81,25476.428853045985,3320020,25548.758667545415
3750,17606,24701.361462614157,0,81,25083.24479402068,7518020,25604.035664415864
3756,3762,25307.969620446358,0,81,25344.4888701679,7518020,25641.748323310716
3746,3765,24430.77753074374,0,81,24884.700025126956,7518020,25726.33004701754
4941,3787,24776.23097245098,0,81,25497.071158784067,29414020,25810.068252201465
4941,3804,24752.695323053384,0,81,24755.28439928538,8564020,25880.437552366966
3748,4908,24924.509490151704,0,81,25005.285656618275,7518020,25911.47091897972
14102,18106,23946.974670368334,0,81,25142.17845882666,43223020,25947.540983161274
14102,18106,24566.43793759398,0,81,25142.17845882666,43223020,25947.540983161274
17475,18106,24868.076350934596,0,81,25704.915531207647,43223020,25947.540983161274
15461,17604,25288.070365347077,0,81,25347.345501421572,29414020,25951.87329382734
4941,17604,25127.45100931149,0,81,25497.071158784067,29414020,25951.87329382734
4941,17604,25467.86439480245,0,81,25497.071158784067,29414020,25951.87329382734
4941,17604,25500.982258340493,0,81,25514.998813074086,29414020,25951.87329382734
4947,17604,24934.475632998463,0,81,25671.794313802497,29414020,25951.87329382734
3777,17038,23656.40890088047,0,81,23901.238470274566,44814020,25990.716218437665
17245,17038,24653.91253306747,0,81,24743.373900310777,44814020,25990.716218437665
15948,17038,24357.160776928333,0,81,24833.951242925927,44814020,25990.716218437665
3804,17038,24781.636866506495,0,81,25036.134280620776,44814020,25990.716218437665
3807,17038,24785.939159179008,0,81,25164.109713870286,44814020,25990.716218437665
3807,17038,25065.19430070074,0,81,25164.109713870286,44814020,25990.716218437665
3819,17038,25747.439917713145,0,81,25786.323807082317,44814020,25990.716218437665
4908,4912,25609.195514369872,0,81,25911.47091897972,7518020,26008.590714867696
3813,14102,25199.446699562788,0,81,25504.229371494832,44814020,26023.438223709636
17038,14102,25602.178381684083,0,81,25990.716218437665,44814020,26023.438223709636
17038,14102,25827.065190406596,0,81,25990.716218437665,44814020,26023.438223709636
14102,3746,23936.7659990974,0,81,25142.17845882666,43223020,26317.05408452109
14102,3746,24589.121526158156,0,81,25142.17845882666,43223020,26317.05408452109
14102,3746,24787.096793014454,0,81,25142.17845882666,43223020,26317.05408452109
14102,3746,25136.690461250055,0,81,25142.17845882666,43223020,26317.05408452109
3725,3746,24437.341534362557,0,81,25183.161382881644,43223020,26317.05408452109
3726,3746,24312.44525713588,0,81,25262.699468947303,43223020,26317.05408452109
17475,3746,25289.79678467445,0,81,25704.915531207647,43223020,26317.05408452109
17476,3746,25307.830326965188,0,81,25737.308755206126,43223020,26317.05408452109
18607,3746,25518.91713761323,0,81,25806.58321849175,43223020,26317.05408452109
18607,3746,25717.23506739789,0,81,25806.58321849175,43223020,26317.05408452109
3739,3746,25221.8269581593,0,81,25849.5861342415,43223020,26317.05408452109
18106,3746,24871.629355617766,0,81,25947.540983161274,43223020,26317.05408452109
18106,3746,25778.822387986005,0,81,25947.540983161274,43223020,26317.05408452109
18106,3746,25916.263967416537,0,81,25947.540983161274,43223020,26317.05408452109
18106,3746,25928.41656612616,0,81,25947.540983161274,43223020,26317.05408452109
3741,3746,24815.725599392994,0,81,25999.35930942622,43223020,26317.05408452109
3741,3746,25022.3575967945,0,81,25999.35930942622,43223020,26317.05408452109
3741,3746,25496.94122023838,0,81,25999.35930942622,43223020,26317.05408452109
3741,3746,25570.09999370146,0,81,25999.35930942622,43223020,26317.05408452109
3741,3746,25801.25571981519,0,81,25999.35930942622,43223020,26317.05408452109
