1 {
14500 30258.41 11
15852 30315.18 11
409 30368.21 12
18047 30472.77 11
17841 30573.75 15
412 30623.33 15
413 30649.64 15
14764 30716.06 15
415 30750.46 15
416 30825.29 18
417 30875.8 18
15185 30929.53 20
16110 30968.79 19
420 31028.27 18
421 31063.46 18
16088 31100.94 19
423 31174.45 17
15364 31300.69 17
425 31359.4 18
15384 31403.78 19
427 31448.71 20
428 31498.9 21
429 31522.69 21
430 31573.6 20
431 31647.31 20
4727 31733.28 23
432 31821.56 21
15279 31900.8 21
16049 31927.36 21
435 31988.36 23
436 32058.54 25
437 32155.68 26
14647 32245.28 29
439 32343.14 31
440 32395.83 32
12754 32474.58 32
442 32568.95 32
443 32692.57 28
445 32908.4 26
446 32991.45 18
18122 33078.0 14
448 33199.72 2
1119 33387.92 2
1120 33447.47 0
1121 33482.29 0
3953 33551.49 0
3954 33586.43 0
8613 33907.34 0
     }
- - - - - -
15 {
386 29451.99 1
388 29544.06 1
389 29585.05 1
390 29611.86 1
391 29634.98 2
14956 29695.07 3
393 29745.45 4
394 29768.56 4
395 29828.56 4
396 29863.62 4
397 29926.89 7
17169 29981.22 7
17162 30059.59 9
14959 30153.04 9
402 30187.66 9
403 30208.23 9
17163 30262.19 9
15848 30308.09 9
406 30344.28 9
14500 30397.21 7
15852 30441.62 7
409 30499.4 7
18047 30570.28 7
17841 30651.44 8
412 30741.52 8
413 30800.67 8
14764 30849.28 8
415 30892.93 8
416 30938.62 7
417 30973.21 7
15185 31029.94 7
16110 31102.09 7
420 31178.07 9
421 31213.46 9
16088 31226.87 9
423 31286.09 9
15364 31406.27 6
425 31462.79 6
15384 31490.85 6
427 31547.25 6
428 31603.67 5
429 31650.96 5
430 31697.24 5
431 31757.28 6
4727 31813.49 5
432 31922.92 6
15279 31982.21 7
16049 32047.43 10
435 32109.33 12
436 32224.28 11
437 32267.93 11
14647 32365.08 12
439 32425.53 13
440 32532.07 13
12754 32579.97 13
442 32707.49 12
443 32893.79 12
445 33200.5 10
446 33258.68 9
18122 33340.85 10
448 33503.35 1
1119 33633.82 0
1120 33711.84 0
1121 33771.88 0
3953 33851.12 0
3954 33883.7 0
8613 34110.48 0
     }
- - - - - -
16 {
386 29761.95 3
388 29840.25 3
389 29889.83 4
390 29916.83 4
391 29942.11 5
14956 29995.65 6
393 30037.29 6
394 30060.03 6
395 30103.38 7
396 30173.61 9
397 30229.91 10
17169 30279.07 10
17162 30354.54 10
14959 30397.36 6
402 30457.26 5
403 30492.32 5
17163 30537.67 5
15848 30596.09 5
406 30632.57 6
