trip_id,stop_id,arr_t,dep_t,pax_load,ons,offs,denied,hold_time,skipped,replication
911386020,16049,8:32:56,8:33:46,9,0,0,0,50,0,3
911386020,435,8:34:34,8:34:42,10,1,0,0,0,0,3
911386020,436,8:35:21,8:35:28,11,1,0,0,0,0,3
911386020,437,8:36:53,8:37:00,12,1,0,0,0,0,3
911386020,14647,8:38:19,8:38:26,13,1,0,0,0,0,3
911386020,439,8:39:33,8:39:33,13,0,0,0,0,0,3
911386020,440,8:40:45,8:40:52,14,1,0,0,0,0,3
911386020,12754,8:41:34,8:41:34,14,0,0,0,0,0,3
911386020,442,8:43:01,8:43:08,12,0,2,0,0,0,3
911386020,443,8:44:53,8:45:08,14,5,3,0,0,0,3
911386020,445,8:48:49,8:48:58,10,0,4,0,0,0,3
911386020,446,8:50:02,8:50:10,7,0,3,0,0,0,3
911386020,18122,8:51:26,8:51:36,2,0,5,0,0,0,3
911386020,448,8:53:16,8:53:22,1,0,1,0,0,0,3
911386020,1119,8:56:51,8:56:58,0,0,1,0,0,0,3
911386020,1120,8:57:45,8:57:45,0,0,0,0,0,0,3
911386020,1121,8:59:03,8:59:03,0,0,0,0,0,0,3
911386020,3953,9:00:05,9:00:05,0,0,0,0,0,0,3
911386020,3954,9:00:29,9:00:29,0,0,0,0,0,0,3
911386020,8613,9:03:02,9:03:02,0,0,0,0,0,0,3
911972020,386,8:01:00,8:01:30,1,1,0,0,30,0,3
911972020,388,8:01:56,8:02:03,2,1,0,0,0,0,3
911972020,389,8:02:30,8:02:30,2,0,0,0,0,0,3
911972020,390,8:02:59,8:02:59,2,0,0,0,0,0,3
911972020,391,8:03:16,8:03:16,2,0,0,0,0,0,3
911972020,14956,8:04:17,8:04:26,4,2,0,0,0,0,3
911972020,393,8:04:36,8:04:36,4,0,0,0,0,0,3
911972020,394,8:05:01,8:05:01,4,0,0,0,0,0,3
911972020,395,8:05:11,8:05:11,4,0,0,0,0,0,3
911972020,396,8:05:41,8:05:48,5,1,0,0,0,0,3
911972020,397,8:06:28,8:06:35,6,1,0,0,0,0,3
911972020,17169,8:07:13,8:07:19,7,1,0,0,0,0,3
911972020,17162,8:07:57,8:08:05,9,2,0,0,0,0,3
911972020,14959,8:09:00,8:09:10,12,4,1,0,0,0,3
911972020,402,8:09:45,8:09:52,11,0,1,0,0,0,3
911972020,403,8:10:14,8:10:14,11,0,0,0,0,0,3
911972020,17163,8:11:00,8:11:00,11,0,0,0,0,0,3
911972020,15848,8:12:01,8:12:10,13,2,0,0,0,0,3
911972020,406,8:12:42,8:13:32,11,0,2,0,50,0,3
911972020,14500,8:13:58,8:13:58,11,0,0,0,0,0,3
911972020,15852,8:14:40,8:14:40,11,0,0,0,0,0,3
911972020,409,8:15:05,8:15:13,12,1,0,0,0,0,3
911972020,18047,8:16:10,8:16:10,12,0,0,0,0,0,3
911972020,17841,8:17:24,8:17:24,12,0,0,0,0,0,3
911972020,412,8:18:15,8:18:15,12,0,0,0,0,0,3
911972020,413,8:19:04,8:19:04,12,0,0,0,0,0,3
911972020,14764,8:19:51,8:19:58,11,0,1,0,0,0,3
911972020,415,8:20:29,8:20:35,10,0,1,0,0,0,3
911972020,416,8:21:43,8:21:53,7,1,4,0,0,0,3
911972020,417,8:23:04,8:23:10,8,1,0,0,0,0,3
911972020,15185,8:23:30,8:23:30,8,0,0,0,0,0,3
911972020,16110,8:24:03,8:24:03,8,0,0,0,0,0,3
911972020,420,8:24:25,8:24:31,9,2,1,0,0,0,3
911972020,421,8:24:54,8:25:44,9,0,0,0,50,0,3
911972020,16088,8:25:55,8:25:55,9,0,0,0,0,0,3
911972020,423,8:26:27,8:26:32,8,0,1,0,0,0,3
911972020,15364,8:29:52,8:30:03,10,4,2,0,0,0,3
911972020,425,8:31:21,8:31:28,11,1,0,0,0,0,3
911972020,15384,8:32:03,8:32:09,12,1,0,0,0,0,3
911972020,427,8:32:57,8:33:06,13,2,1,0,0,0,3
911972020,428,8:33:50,8:33:57,14,1,0,0,0,0,3
911972020,429,8:35:00,8:35:00,14,0,0,0,0,0,3
911972020,430,8:35:52,8:35:59,15,1,0,0,0,0,3
911972020,431,8:36:56,8:37:03,16,1,0,0,0,0,3
911972020,4727,8:38:26,8:38:33,17,1,0,0,0,0,3
911972020,432,8:40:05,8:40:05,17,0,0,0,0,0,3
911972020,15279,8:40:34,8:40:40,18,1,0,0,0,0,3
911972020,16049,8:40:57,8:40:57,18,0,0,0,0,0,3
911972020,435,8:41:43,8:41:54,22,4,0,0,0,0,3
911972020,436,8:42:44,8:42:56,25,4,1,0,0,0,3
911972020,437,8:44:20,8:44:27,26,1,0,0,0,0,3
911972020,14647,8:45:15,8:45:26,29,3,0,0,0,0,3
911972020,439,8:45:54,8:46:01,30,1,0,0,0,0,3
911972020,440,8:48:50,8:49:05,34,5,1,0,0,0,3
911972020,12754,8:49:50,8:49:56,33,0,1,0,0,0,3
911972020,442,8:51:49,8:51:57,35,2,0,0,0,0,3
911972020,443,8:54:20,8:54:54,44,13,4,0,0,0,3
911972020,445,9:00:30,9:00:51,30,0,14,0,0,0,3
911972020,446,9:03:11,9:03:25,22,0,8,0,0,0,3
911972020,18122,9:05:28,9:05:43,14,1,9,0,0,0,3
911972020,448,9:06:57,9:07:08,8,0,6,0,0,0,3
911972020,1119,9:10:50,9:10:50,8,0,0,0,0,0,3
911972020,1120,9:12:00,9:12:05,7,0,1,0,0,0,3
911972020,1121,9:12:47,9:12:52,6,0,1,0,0,0,3
911972020,3953,9:13:34,9:13:40,5,0,1,0,0,0,3
911972020,3954,9:14:22,9:14:22,5,0,0,0,0,0,3
911972020,8613,9:17:19,9:17:29,0,0,5,0,0,0,3
911318020,386,8:06:00,8:06:50,3,3,0,0,50,0,3
911318020,388,8:07:28,8:07:28,3,0,0,0,0,0,3
911318020,389,8:07:52,8:07:58,4,1,0,0,0,0,3
911318020,390,8:08:19,8:08:19,4,0,0,0,0,0,3
911318020,391,8:08:37,8:08:44,5,1,0,0,0,0,3
911318020,14956,8:09:34,8:09:42,7,2,0,0,0,0,3
911318020,393,8:10:00,8:10:08,8,1,0,0,0,0,3
911318020,394,8:10:31,8:10:40,10,2,0,0,0,0,3
911318020,395,8:10:51,8:11:00,10,1,1,0,0,0,3
911318020,396,8:11:28,8:11:37,12,2,0,0,0,0,3
911318020,397,8:12:10,8:12:23,16,4,0,0,0,0,3
911318020,17169,8:13:38,8:13:45,15,0,1,0,0,0,3
911318020,17162,8:14:36,8:14:47,16,3,2,0,0,0,3
911318020,14959,8:15:27,8:15:37,17,3,2,0,0,0,3
911318020,402,8:16:06,8:16:16,19,2,0,0,0,0,3
911318020,403,8:16:37,8:16:44,19,1,1,0,0,0,3
911318020,17163,8:17:31,8:17:40,21,2,0,0,0,0,3
911318020,15848,8:18:52,8:18:52,21,0,0,0,0,0,3
911318020,406,8:19:38,8:19:46,18,0,3,0,0,0,3
911318020,14500,8:20:13,8:20:13,18,0,0,0,0,0,3
911318020,15852,8:21:12,8:21:18,17,0,1,0,0,0,3
911318020,409,8:21:42,8:21:50,17,2,2,0,0,0,3
911318020,18047,8:23:09,8:23:09,17,0,0,0,0,0,3
911318020,17841,8:24:41,8:24:50,19,2,0,0,0,0,3
911318020,412,8:25:41,8:25:47,18,0,1,0,0,0,3
