version,tripno,blockno,patternid,route,veh_type,direction,timepointid,runid,schd_time,monday,tuesday,wednesday,thursday,friday,saturday,sunday
651,9988070,593,16550,81,STANDARD,3.0,WilBwy,F101,22170,0,0,0,0,0,1,0
651,9988070,593,16550,81,STANDARD,3.0,WilMd,F101,22440,0,0,0,0,0,1,0
651,11774020,2772,16551,81,STANDARD,4.0,WilMd,F103,20640,1,1,1,1,1,0,0
651,11774020,2772,16551,81,STANDARD,4.0,WilBwy,F103,21000,1,1,1,1,1,0,0
651,11774020,2772,16551,81,STANDARD,4.0,LawWes,F103,21540,1,1,1,1,1,0,0
651,11774020,2772,16551,81,STANDARD,4.0,LawKim,F103,21900,1,1,1,1,1,0,0
651,11774020,2772,16551,81,STANDARD,4.0,LawPul,F103,22200,1,1,1,1,1,0,0
651,11774020,2772,16551,81,STANDARD,4.0,LawCic,F103,22500,1,1,1,1,1,0,0
651,11774020,2772,16551,81,STANDARD,4.0,JpkBlu,F103,22680,1,1,1,1,1,0,0
651,34529070,590,16551,81,STANDARD,4.0,WilMd,F103,20700,0,0,0,0,0,1,0
651,34529070,590,16551,81,STANDARD,4.0,WilBwy,F103,21000,0,0,0,0,0,1,0
651,34529070,590,16551,81,STANDARD,4.0,LawWes,F103,21540,0,0,0,0,0,1,0
651,34529070,590,16551,81,STANDARD,4.0,LawKim,F103,21900,0,0,0,0,0,1,0
651,34529070,590,16551,81,STANDARD,4.0,LawPul,F103,22140,0,0,0,0,0,1,0
651,34529070,590,16551,81,STANDARD,4.0,LawCic,F103,22380,0,0,0,0,0,1,0
651,34529070,590,16551,81,STANDARD,4.0,JpkBlu,F103,22560,0,0,0,0,0,1,0
651,44567020,2770,16550,81,STANDARD,3.0,JpkBlu,F107,20880,1,1,1,1,1,0,0
651,44567020,2770,16550,81,STANDARD,3.0,LawCic,F107,21120,1,1,1,1,1,0,0
651,44567020,2770,16550,81,STANDARD,3.0,LawPul,F107,21480,1,1,1,1,1,0,0
651,44567020,2770,16550,81,STANDARD,3.0,LawKim,F107,21840,1,1,1,1,1,0,0
651,44567020,2770,16550,81,STANDARD,3.0,LawWes,F107,22380,1,1,1,1,1,0,0
651,44567020,2770,16550,81,STANDARD,3.0,WilBwy,F107,23100,1,1,1,1,1,0,0
651,44567020,2770,16550,81,STANDARD,3.0,WilMd,F107,23490,1,1,1,1,1,0,0
651,22998010,3883,16551,81,STANDARD,4.0,WilMd,F103,21180,0,0,0,0,0,0,1
651,22998010,3883,16551,81,STANDARD,4.0,WilBwy,F103,21450,0,0,0,0,0,0,1
651,22998010,3883,16551,81,STANDARD,4.0,LawWes,F103,21930,0,0,0,0,0,0,1
651,22998010,3883,16551,81,STANDARD,4.0,LawKim,F103,22290,0,0,0,0,0,0,1
651,22998010,3883,16551,81,STANDARD,4.0,LawPul,F103,22590,0,0,0,0,0,0,1
651,22998010,3883,16551,81,STANDARD,4.0,LawCic,F103,22830,0,0,0,0,0,0,1
651,22998010,3883,16551,81,STANDARD,4.0,JpkBlu,F103,23010,0,0,0,0,0,0,1
651,3330010,3885,16550,81,STANDARD,3.0,JpkBlu,F102,21390,0,0,0,0,0,0,1
651,3330010,3885,16550,81,STANDARD,3.0,LawCic,F102,21570,0,0,0,0,0,0,1
651,3330010,3885,16550,81,STANDARD,3.0,LawPul,F102,21870,0,0,0,0,0,0,1
651,3330010,3885,16550,81,STANDARD,3.0,LawKim,F102,22170,0,0,0,0,0,0,1
651,3330010,3885,16550,81,STANDARD,3.0,LawWes,F102,22530,0,0,0,0,0,0,1
651,3330010,3885,16550,81,STANDARD,3.0,WilBwy,F102,23100,0,0,0,0,0,0,1
651,3330010,3885,16550,81,STANDARD,3.0,WilMd,F102,23340,0,0,0,0,0,0,1
651,10141020,2767,16550,81,STANDARD,3.0,JpkBlu,F108,21420,1,1,1,1,1,0,0
