block_id,trip_id,direction,schd_sec,schd_time,day1,day2,day3,day4,rep1,rep2,rep3,rep4
907002,911381020,in,21600.0,6:00:00,5:58:58,5:56:32,5:59:00,5:58:49,6:00:00,6:00:04,6:00:05,6:00:00
907002,911381020,in,24420.0,6:47:00,6:49:39,6:53:45,6:55:01,6:54:55,6:53:06,6:56:11,6:52:25,6:48:49
907002,911382020,out_long,24900.0,6:55:00,6:54:50,6:54:26,6:55:11,6:55:05,6:55:00,6:56:11,6:55:00,6:55:00
907002,911382020,out_long,27900.0,7:45:00,7:52:23,7:46:04,7:50:19,7:52:48,7:48:57,7:51:56,7:50:04,7:50:56
907002,911386020,in,28590.0,7:56:30,7:56:20,7:56:00,7:56:43,7:56:24,7:57:15,7:57:20,7:57:20,7:57:04
907002,911386020,in,32310.0,8:58:30,9:14:15,9:12:35,9:07:35,9:10:06,9:12:06,9:09:41,9:08:43,9:12:23
907002,911387020,out_long,32820.0,9:07:00,9:14:25,9:12:45,9:07:51,9:10:10,9:12:06,9:09:50,9:08:49,9:12:32
907002,911387020,out_long,34980.0,9:43:00,,,,,,,,
907402,911264020,out_long,20400.0,5:40:00,,5:44:05,,,5:40:00,5:40:00,5:41:09,5:40:11
907402,911264020,out_long,23160.0,6:26:00,,6:36:50,,,6:26:17,6:25:36,6:26:50,6:29:55
907402,911263020,in,23730.0,6:35:30,,6:37:04,,,6:35:32,6:35:38,6:35:37,6:35:34
907402,911263020,in,26341.0,7:19:01,,,,,7:29:13,7:26:48,7:29:32,7:35:52
907402,911266020,out_long,27210.0,7:33:30,,,,,7:33:30,7:33:30,7:33:30,7:35:59
907402,911266020,out_long,30210.0,8:23:30,,8:35:34,,,8:26:45,8:25:41,8:26:27,8:30:56
907402,911267020,in,30960.0,8:36:00,,8:36:17,,,8:36:50,8:36:50,8:36:50,8:36:50
907402,911267020,in,34260.0,9:31:00,,9:40:24,,,,,,
907603,911410030,out_long,19200.0,5:20:00,5:21:11,5:19:01,5:29:28,5:18:18,5:21:14,5:20:41,5:20:40,5:20:00
907603,911410030,out_long,21960.0,6:06:00,6:03:48,6:08:42,,6:09:53,6:06:34,6:05:52,6:06:05,6:06:08
907603,911411030,in,22770.0,6:19:30,6:19:19,6:17:18,,6:19:49,6:19:40,6:19:34,6:19:40,6:19:36
907603,911411030,in,25590.0,7:06:30,7:11:25,7:16:06,,7:14:38,7:10:12,7:13:54,7:09:17,7:12:21
907603,911413030,out_long,26070.0,7:14:30,7:12:50,7:16:17,,7:15:16,7:14:30,7:14:30,7:14:30,7:14:30
907603,911413030,out_long,29070.0,8:04:30,8:17:08,8:17:27,8:27:35,8:18:56,8:13:08,8:08:35,8:08:52,8:08:24
907603,911414030,in,29940.0,8:19:00,8:21:54,8:22:01,8:34:29,8:19:08,8:19:50,8:19:50,8:19:50,8:19:50
907603,911414030,in,33660.0,9:21:00,9:38:53,9:32:29,,9:28:26,,,,
907603,911415030,out_long,34170.0,9:29:30,9:39:03,9:32:38,,9:30:23,,,,
907603,911415030,out_long,37170.0,10:19:30,10:38:30,10:23:30,10:33:52,10:29:49,,,,
907802,911239020,out_short,20100.0,5:35:00,5:34:55,5:35:02,5:35:47,,5:35:00,5:35:13,5:35:23,5:35:00
907802,911239020,out_short,20820.0,5:47:00,5:47:10,5:44:31,5:50:17,,5:48:01,5:46:35,5:46:12,5:47:29
907802,911240020,in,21000.0,5:50:00,5:50:27,5:45:02,5:50:30,6:06:16,5:50:00,5:50:04,5:50:00,5:50:00
907802,911240020,in,23820.0,6:37:00,6:38:36,6:49:11,6:45:34,6:57:11,6:43:59,6:37:19,6:38:45,6:37:50
907802,911241020,out_long,24300.0,6:45:00,6:44:25,6:49:22,6:45:42,6:57:38,6:45:00,6:45:00,6:45:00,6:45:00
907802,911241020,out_long,27180.0,7:33:00,7:32:44,7:43:35,7:47:15,7:48:16,7:40:25,7:36:06,7:40:59,7:42:50
907802,911242020,in,27780.0,7:43:00,7:41:10,7:43:48,7:47:39,7:48:38,7:43:50,7:43:50,7:43:50,7:43:34
907802,911242020,in,31500.0,8:45:00,8:53:46,8:53:48,8:58:45,9:01:09,8:54:36,8:51:08,8:52:35,8:52:57
907802,911243020,out_long,32010.0,8:53:30,8:55:42,8:54:02,8:59:10,9:01:59,8:54:36,8:53:30,8:53:30,8:53:30
907802,911243020,out_long,35010.0,9:43:30,9:53:12,9:51:51,9:59:54,,,,,
907802,911244020,in,35700.0,9:55:00,9:55:27,9:54:58,10:01:52,10:02:43,,,,
907802,911244020,in,38820.0,10:47:00,10:42:11,10:52:51,11:04:31,10:59:44,,,,
907902,911452020,out_short,26280.0,7:18:00,7:18:13,,7:20:19,7:17:42,7:18:43,7:18:52,7:19:07,7:19:09
907902,911452020,out_short,27060.0,7:31:00,7:30:45,,7:32:37,7:32:00,7:29:49,7:32:28,7:33:45,7:32:49
907902,911457020,in,27240.0,7:34:00,7:34:40,7:45:49,7:36:22,7:36:28,7:34:50,7:34:50,7:34:50,7:34:34
907902,911457020,in,30960.0,8:36:00,8:51:04,8:47:50,8:45:47,8:45:24,8:39:56,8:37:44,8:46:17,8:45:43
907902,911458020,out_long,31530.0,8:45:30,8:53:19,8:48:00,8:46:04,8:45:41,8:45:30,8:45:30,8:46:24,8:45:50
907902,911458020,out_long,34530.0,9:35:30,9:52:07,9:34:03,9:35:30,9:34:11,,,,
907902,911455020,in,35100.0,9:45:00,9:54:36,9:47:36,9:45:26,9:44:32,,,,
907902,911455020,in,38220.0,10:37:00,10:39:11,10:38:13,10:37:20,10:39:29,,,,
908102,911213020,out_short,24540.0,6:49:00,6:48:15,6:48:41,6:49:13,6:53:15,6:49:19,6:49:35,6:49:00,6:49:00
908102,911213020,out_short,25260.0,7:01:00,7:01:36,7:05:27,7:01:06,7:05:06,7:02:53,7:02:18,7:05:50,7:01:23
908102,911214020,in,25440.0,7:04:00,7:16:32,7:05:52,7:02:44,7:06:15,7:04:23,7:04:08,7:06:07,7:04:12
908102,911214020,in,29160.0,8:06:00,8:37:33,8:22:23,8:11:50,8:08:06,8:04:21,8:01:09,8:07:11,8:03:06
908102,911211020,out_long,29760.0,8:16:00,8:37:45,8:22:30,8:16:09,8:15:58,8:16:00,8:16:00,8:16:00,8:16:00
908102,911211020,out_long,32760.0,9:06:00,9:32:01,9:22:28,9:22:36,9:25:45,9:06:44,9:12:15,9:12:14,9:18:38
908102,911217020,in,33300.0,9:15:00,9:40:45,9:23:01,9:38:15,9:26:07,9:15:50,9:15:50,9:15:50,9:19:28
908102,911217020,in,36420.0,10:07:00,10:32:11,10:18:24,,10:19:48,,,,
