boarding_stop,alighting_stop,arrival_time,times_denied,route_id,boarding_time,trip_id,alighting_time
18607,3746,27262.912115059513,0,81,27636.601700272717,4487020,28311.55398655918
3739,3746,27092.309195196096,0,81,27672.706408316124,4487020,28311.55398655918
18106,3746,27263.83679048202,0,81,27802.082965034366,4487020,28311.55398655918
18106,3746,27568.50874221703,0,81,27802.082965034366,4487020,28311.55398655918
18106,3746,27791.173565044384,0,81,27802.082965034366,4487020,28311.55398655918
3741,3746,27320.18634225707,0,81,27844.881165745566,4487020,28311.55398655918
3741,3746,27404.423704591816,0,81,27844.881165745566,4487020,28311.55398655918
3741,3746,27667.71704905695,0,81,27844.881165745566,4487020,28311.55398655918
3741,3746,27703.182028449442,0,81,27844.881165745566,4487020,28311.55398655918
3741,3746,27820.66787622047,0,81,27844.881165745566,4487020,28311.55398655918
3741,3746,27832.35495231903,0,81,27844.881165745566,4487020,28311.55398655918
3743,3746,27607.901660915573,0,81,27958.09740420281,4487020,28311.55398655918
3743,3746,27731.685301412825,0,81,27958.09740420281,4487020,28311.55398655918
3743,3746,27780.242125972953,0,81,27958.09740420281,4487020,28311.55398655918
3744,3746,27811.52001603543,0,81,28015.06064100704,4487020,28311.55398655918
3744,3746,27863.01514732446,0,81,28015.06064100704,4487020,28311.55398655918
3745,17249,27089.020923815766,0,81,27452.70611243445,4712020,28336.61131677385
3803,18107,28107.151309560857,0,81,28113.364001336588,6934020,28344.587170437426
17246,15931,27825.233912335127,0,81,28110.66203084238,18412020,28394.71501873906
4943,14102,25188.33742912458,0,81,25489.63900989804,29414020,28398.398756134582
4945,14102,25151.106313487184,0,81,25528.928895959976,29414020,28398.398756134582
3811,14102,26855.862506573878,0,81,26994.95106946126,29414020,28398.398756134582
3813,14102,27053.68943561412,0,81,27084.24527543187,29414020,28398.398756134582
3815,14102,27143.637099303145,0,81,27168.7661488461,29414020,28398.398756134582
17038,14102,27506.896014105936,0,81,28232.92284863935,29414020,28398.398756134582
17038,14102,27737.21783318815,0,81,28232.92284863935,29414020,28398.398756134582
17038,14102,28025.877861126235,0,81,28232.92284863935,29414020,28398.398756134582
17038,14102,28127.99276552618,0,81,28232.92284863935,29414020,28398.398756134582
3756,3759,28171.78415875858,0,81,28210.58607449242,4712020,28441.833239492968
3762,16192,27440.929437424085,0,81,27832.877695004976,4552020,28472.07064989322
3805,3809,28239.44759367814,0,81,28280.7554692137,6934020,28477.554254224524
3746,3760,27293.20588058047,0,81,27550.497525099356,4712020,28507.164841689853
