,route_id,service_id,trip_id,direction_id,block_id,shape_id,direction,wheelchair_accessible,schd_trip_id
8838,20,62601,6260911414030,1,626055907603,62602063,East,1,911414030
8839,20,62601,6260911415030,0,626055907603,62604096,West,1,911415030
8840,20,62601,6260911416030,0,636055907603,62600954,West,1,911416030
8841,20,62601,6260911417030,1,636055907603,62600957,East,1,911417030
8842,20,62601,6260911418030,1,636055907603,62602063,East,1,911418030
8843,20,62601,6260911419030,0,636055907603,62600954,West,1,911419030
8844,20,62601,6260911420030,1,636055907603,62602063,East,1,911420030
8845,20,62601,6260911421030,0,636055907603,62604096,West,1,911421030
8846,20,62601,6260911422030,0,636055907603,62604096,West,1,911422030
8847,20,62601,6260911423030,1,636055907603,62600957,East,1,911423030
8848,20,62601,6260911424030,0,636055907603,62600954,West,1,911424030
8849,20,62601,6260911426030,1,636055907603,62600956,East,1,911426030
8850,20,62601,6260911427020,1,626055907502,62600951,East,1,911427020
8851,20,62601,6260911431020,0,626055907502,62600954,West,1,911431020
8852,20,62601,6260911432020,1,626055907502,62602063,East,1,911432020
8853,20,62601,6260911433020,0,626055907502,62604096,West,1,911433020
8854,20,62601,6260911434020,1,626055907502,62602063,East,1,911434020
8855,20,62601,6260911435020,0,626055907502,62604096,West,1,911435020
8856,20,62601,6260911436020,1,626055907502,62600956,East,1,911436020
8857,20,62601,6260911444020,1,626055908002,62600951,East,1,911444020
8858,20,62601,6260911445020,1,626055908002,62602063,East,1,911445020
8859,20,62601,6260911446020,0,626055908002,62600954,West,1,911446020
8860,20,62601,6260911447020,1,626055908002,62600957,East,1,911447020
8861,20,62601,6260911448020,1,626055908002,62602063,East,1,911448020
8862,20,62601,6260911449020,0,626055908002,62604096,West,1,911449020
8863,20,62601,6260911450020,0,626055908002,62604096,West,1,911450020
8864,20,62601,6260911451020,0,626055908002,62600954,West,1,911451020
8865,20,62601,6260911452020,0,626055907902,62600949,West,1,911452020
8866,20,62601,6260911453020,1,626055908002,62600956,East,1,911453020
8867,20,62601,6260911455020,1,626055907902,62600957,East,1,911455020
8868,20,62601,6260911457020,1,626055907902,62602063,East,1,911457020
8869,20,62601,6260911458020,0,626055907902,62604096,West,1,911458020
8870,20,62601,6260911459020,0,626055907902,62600954,West,1,911459020
8871,20,62601,6260911460020,1,626055907902,62600957,East,1,911460020
8872,20,62601,6260911461020,0,626055907902,62600954,West,1,911461020
8873,20,62601,6260911462020,1,626055907902,62602063,East,1,911462020
8874,20,62601,6260911463020,1,626055907902,62600956,East,1,911463020
8875,20,62601,6260911464020,0,626055907902,62604096,West,1,911464020
8876,20,62601,6260911465020,1,626055907902,62602063,East,1,911465020
8877,20,62601,6260911466020,0,626055907902,62604096,West,1,911466020
8878,20,62601,6260911499020,0,626055892302,62600954,West,1,911499020
8879,20,62601,6260911500020,0,626055896202,62600949,West,1,911500020
8880,20,62601,6260911502020,1,626055892502,62600956,East,1,911502020
8881,20,62601,6260911504020,0,626055896102,62604096,West,1,911504020
8882,20,62601,6260911588020,0,626055889302,62600949,West,1,911588020
8883,20,62601,6260911589020,1,626055889302,62602063,East,1,911589020
8884,20,62601,6260911590020,0,626055889302,62604096,West,1,911590020
8885,20,62601,6260911591020,1,626055889302,62600956,East,1,911591020
8886,20,62601,6260911849020,0,626055882902,62600949,West,1,911849020
8887,20,62601,6260911850020,0,626055882902,62604095,West,1,911850020
8888,20,62601,6260911853020,1,626055882902,62602063,East,1,911853020
8889,20,62601,6260911862020,1,626055898602,62602062,East,1,911862020
8890,20,62601,6260911863020,0,626055898602,62604096,West,1,911863020
8891,20,62601,6260911864020,1,626055898602,62602063,East,1,911864020
8892,20,62601,6260911865020,0,626055898602,62604096,West,1,911865020
8893,20,62601,6260911866020,1,626055898602,62602063,East,1,911866020
8894,20,62601,6260911867020,0,626055898602,62604096,West,1,911867020
8895,20,62601,6260911868020,0,626055898602,62600954,West,1,911868020
8896,20,62601,6260911869020,1,626055898602,62600957,East,1,911869020
